Gene ID,Vector_1,Vector_2,Vector_3,EGFP_1,EGFP_2,EGFP_3,PolyD_1,PolyD_2,PolyD_3,PolyE_1,PolyE_2,PolyE_3
YDR268W,27.367411,22.847641,30.585123,18.264988,15.883544,13.538274,17.788206,16.573545,18.57309,15.622689,18.804008,17.391132
YDR269C,1.979069,2.226297,1.607306,1.352939,0.965712,1.030408,0.756455,0.87945,0.69755,0.498176,0.988359,0.598336
YDR270W,16.788891,16.264416,21.998142,13.067764,12.050414,9.240547,13.282847,15.596604,14.801362,9.207378,11.530477,13.368292
YDR271C,0.668664,0.475516,0.85739,0.639953,0.341518,0.640447,0.988679,0.426276,0.875437,0.417026,0.337301,0.601089
YDR272W,81.671738,76.577438,104.019043,89.808952,79.849281,65.431412,99.852318,92.653694,96.136429,73.250877,84.865112,81.327103
YDR273W,4.660967,5.245506,6.013782,9.869134,9.017642,6.551382,11.270407,10.682461,9.64541,7.109911,8.339529,7.330227
YDR274C,14.665964,18.157867,18.819412,25.719955,16.24457,19.988789,18.162096,16.231201,21.633467,14.886409,22.160124,18.966194
YDR275W,18.496918,20.506147,24.659651,36.10284,28.092079,28.870474,30.284786,33.022434,29.247917,21.850557,32.191586,28.119156
YDR276C,1978.376221,1695.030029,1948.285767,894.2453,945.862061,1293.126709,1251.091553,1213.252686,1190.920898,1398.12439,1348.275879,1313.36438
YDR277C,10.944639,8.780749,17.155027,14.587673,14.314784,10.589001,13.490221,13.136743,13.735651,8.735993,12.446597,8.58008
YDR278C,0.056374,0,0.141577,0,0.007469,0,0.215107,0,0.036217,0.200398,0.174335,0.092882
YDR279W,31.065407,25.543562,27.611151,20.190964,20.570475,15.986653,23.61758,23.373529,23.773163,22.891199,23.346443,23.748608
YDR280W,58.304195,54.078022,56.773937,42.640144,38.277981,32.798996,45.817524,42.23315,39.850506,38.174591,52.660515,46.433929
YDR281C,17.734749,16.038822,16.483217,5.546423,2.966306,3.869356,10.428002,9.666885,12.393648,8.89924,11.026965,10.932066
YDR282C,13.55963,11.062328,14.396188,14.568913,10.895957,9.41293,14.218261,13.932114,13.144874,10.653755,13.150228,12.954523
YDR283C,9.268878,9.412191,12.786338,12.567422,10.786738,9.185,12.3795,11.577982,11.054911,8.899209,10.267519,10.40306
YDR284C,102.628838,94.309326,129.27684,89.730156,102.708771,96.398567,101.313004,100.634392,96.70961,106.622803,94.713676,98.033241
YDR285W,2.466861,2.471993,2.777097,2.445745,2.152101,1.435394,2.973631,3.237601,2.883432,1.784747,2.521359,2.991591
YDR286C,47.936043,45.029373,48.910885,33.495781,31.477358,38.077881,37.565979,40.928207,41.55904,38.303005,42.119637,32.970215
YDR287W,37.222317,37.695919,52.403988,39.031673,35.142319,30.783518,38.548264,36.42907,41.492855,32.824512,34.368687,35.02879
YDR288W,28.517763,26.072414,33.22163,31.169563,25.114933,21.779549,31.92292,30.100599,31.001263,28.122644,27.802917,29.594839
YDR289C,23.849144,21.754829,24.446962,23.405342,21.242146,15.805895,23.684021,25.087738,19.44223,16.919168,20.490911,20.286669
YDR290W,2.171733,1.674544,1.748563,2.594388,2.443011,1.616587,2.330217,1.905872,2.011514,1.433111,1.617843,1.850602
YDR291W,12.861815,13.029412,16.280605,13.27326,12.710439,10.320076,13.59942,13.27958,12.325274,11.474443,12.65896,13.340169
YDR292C,53.828117,49.928604,61.407349,40.224747,37.871777,28.817238,42.148472,38.981281,38.423111,37.792381,41.838009,42.882542
YDR293C,61.5243,59.330406,82.964218,100.978737,90.131706,79.243698,76.406555,73.899582,74.169586,66.247017,64.42012,66.260872
YDR294C,76.930733,75.913635,90.63707,96.690193,83.573326,75.277863,83.597038,78.104744,86.363861,71.148079,78.642372,74.314316
YDR295C,12.665221,11.735955,15.777855,18.433027,15.723767,10.266307,15.744813,16.829643,15.828402,12.203406,13.808817,13.763084
YDR296W,52.030811,50.084675,59.640629,45.916561,41.680328,38.988487,48.581585,54.552254,43.656277,41.406166,50.564892,44.452438
YDR297W,112.346481,117.03772,110.173698,108.558456,101.392693,90.977737,108.35981,98.706795,96.472061,96.012192,109.377693,103.140404
YDR298C,239.190063,226.28215,267.104401,264.93103,254.44722,270.351837,282.842133,269.160675,263.26474,252.469452,244.423386,252.981232
